Food Group,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Total U.S. food imports,43105.8,45416.5,46063.1,49209.3,55328.9,61531.4,67803.6,74649.9,81076.2,88722.2,81220.7,91322.5,107576.9,111802.8,115000.6,125188.6,126777.6,129119.3,137236.6
Live meat animals,1189.7,1419.0,1771.2,1723.9,1276.7,1134.3,1672.0,2172.0,2588.0,2266.4,1655.5,2007.1,1886.5,2192.0,2190.2,3008.6,2772.5,2102.9,2020.0
Meats,3260.5,3827.7,4256.2,4283.5,4426.8,5718.5,5751.9,5243.6,5367.3,5059.8,4612.1,5087.8,5755.2,6245.2,6529.8,8940.4,9991.7,8589.1,8877.6
Fish and shellfish,8859.8,9879.8,9663.3,9963.3,10859.9,11106.3,11840.2,13112.3,13434.6,13912.0,12933.9,14516.7,16459.4,16467.5,17784.3,20053.5,18520.8,19260.7,21324.1
Dairy,930.3,922.3,995.8,1008.8,1110.3,1292.3,1388.4,1405.7,1500.8,1595.6,1353.4,1347.2,1502.1,1604.2,1649.1,1844.3,1893.5,1875.8,1827.2
Vegetables,3631.6,3771.4,4156.6,4391.1,5082.4,5730.0,6043.1,6619.3,7256.0,7800.6,7525.2,8705.6,9666.6,9945.6,10733.5,10929.7,11290.2,12469.2,12743.0
Fruits,4764.5,4629.5,4665.2,5067.6,5557.7,5962.4,6873.8,7707.1,9217.3,9888.2,9639.8,10649.0,11973.9,12537.9,13602.3,14807.7,15954.9,17157.0,18383.1
Nuts,793.9,808.7,670.2,700.5,775.6,1078.4,1121.9,1099.4,1181.4,1350.7,1278.3,1461.7,1863.2,1999.6,2000.2,2360.5,2767.3,2870.8,3300.6
"Coffee, tea, and spices",3603.7,3441.8,2400.7,2455.0,2871.9,3144.3,3770.8,4194.9,4791.2,5580.8,5160.3,6265.0,9715.8,8725.7,7633.2,8298.8,8536.2,8310.9,9068.8
Grains,2659.5,2734.8,2989.8,3342.8,3618.2,4010.5,4240.7,4910.1,5914.8,7689.6,6846.1,7137.5,8062.8,9111.1,10257.0,10030.9,10030.2,10178.6,10860.8
Vegetable oils,1356.9,1362.5,1177.0,1301.6,1506.5,2241.0,2362.6,2818.3,3516.7,5694.6,4039.4,4508.8,6793.6,6235.9,6664.5,7336.6,6304.0,6521.6,7224.7
Sugar and candy,1617.7,1571.6,1580.9,1842.6,2130.8,2111.3,2473.7,3021.2,2606.2,3011.0,3081.2,4107.4,5207.4,4783.5,4327.4,4582.3,4705.3,4693.2,4720.5
Cocoa and chocolate,1522.5,1404.5,1535.9,1760.9,2439.2,2484.4,2750.6,2659.2,2661.6,3298.8,3476.2,4295.2,4680.6,4095.7,4158.8,4728.0,4859.7,5080.6,5006.5
Other edible products,2121.5,2101.7,2252.0,2482.0,3637.2,4784.4,5536.4,5963.1,6080.0,6700.8,6111.3,6781.6,8133.2,10977.6,9831.0,9715.8,9591.6,9351.0,10133.9
Beverages,4411.8,4815.9,5101.3,5794.7,6597.5,7024.3,7887.5,9212.1,9912.7,9832.9,8721.0,9262.8,10142.9,10858.5,11247.6,11964.0,12785.7,13492.9,14382.9
Liquors,2381.9,2725.5,2847.0,3091.1,3438.2,3709.2,4089.9,4511.5,5047.7,5040.4,4787.0,5189.0,5733.8,6023.0,6391.7,6587.5,6774.2,7165.1,7362.9
Total animal foods,14240.3,16048.8,16686.4,16979.5,17673.7,19251.3,20652.6,21933.6,22890.7,22833.8,20554.9,22958.8,25603.2,26508.9,28153.4,33846.8,33178.5,31828.5,34048.8
Total plant foods,22071.8,21826.3,21428.4,23344.0,27619.5,31546.6,35173.6,38992.6,43225.2,51015.1,47157.8,53911.8,66097.1,68412.5,69207.9,72790.3,74039.3,76632.8,81442.0
Total beverages,6793.7,7541.4,7948.3,8885.8,10035.7,10733.5,11977.4,13723.6,14960.4,14873.3,13508.0,14451.8,15876.6,16881.4,17639.3,18551.5,19559.9,20658.0,21745.9
